"","Date","StockClose","StockChange","StockPrctChange","StockVolume","VIX","Event","SPY_Close","SPY_Volume"
"3558",2010-09-09,24.01,0.08,0.0033,46028800,22.81,NA,110.92,147017904
"3559",2010-09-08,23.93,-0.03,-0.0013,65512300,23.25,NA,110.41,150268896
"3560",2010-09-07,23.96,-0.33,-0.0136,51928600,23.8,NA,109.64,141973600
"3561",2010-09-03,24.29,0.35,0.0146,64189000,21.31,NA,110.89,212197200
"3562",2010-09-02,23.94,0.04,0.0017,48837000,23.19,NA,109.47,156112096
"3563",2010-09-01,23.9,0.43,0.0183,65235800,23.89,NA,108.46,267834896
"3564",2010-08-31,23.47,-0.17,-0.0072,66083400,26.05,NA,105.31,273932992
"3565",2010-08-30,23.64,-0.29,-0.0121,45453000,27.21,NA,105.31,167238496
"3566",2010-08-27,23.93,0.11,0.0046,60944400,24.45,NA,106.86,272704000
"3567",2010-08-26,23.82,-0.28,-0.0116,49105200,27.37,NA,105.23,224492704
"3568",2010-08-25,24.1,0.06,0.0025,47404700,26.7,NA,105.94,272330688
"3569",2010-08-24,24.04,-0.24,-0.0099,66532300,27.46,NA,105.53,280795488
"3570",2010-08-23,24.28,0.05,0.0021,51728100,25.66,NA,107.12,163490208
"3571",2010-08-20,24.23,-0.21,-0.0086,49565700,25.49,NA,107.53,209714096
"3572",2010-08-19,24.44,-0.38,-0.0153,54069000,26.44,NA,107.88,265847600
"3573",2010-08-18,24.82,0.11,0.0045,46818800,24.59,NA,109.79,182922000
"3574",2010-08-17,24.71,0.21,0.0086,52935000,24.33,"Dividend",109.59,172270208
"3575",2010-08-16,24.5,0.1,0.0041,40968300,26.1,NA,108.26,147895296
"3576",2010-08-13,24.4,-0.09,-0.0037,45263400,26.24,NA,108.31,158698400
"3577",2010-08-12,24.49,-0.37,-0.0149,70240400,25.73,NA,108.63,239542400
"3578",2010-08-11,24.86,-0.21,-0.0084,76745800,25.39,NA,109.3,273408096
"3579",2010-08-10,25.07,-0.54,-0.0211,87257600,22.37,NA,112.38,242916304
"3580",2010-08-09,25.61,0.06,0.0023,57102500,22.14,NA,112.99,120800304
