"id","attachment","total_limit","total_premium","layer_number","price_per_million","rate_relativity","industry_vertical","region","sic_code"
84,2.5e+07,20000000,672500,3,33625,0.75561797752809,"REHL: Real Estate","NE","7521"
84,4.5e+07,25000000,421547,4,16861.88,0.501468550185874,"REHL: Real Estate","NE","7521"
84,7e+07,10000000,130000,5,13000,0.770969785101068,"REHL: Real Estate","NE","7521"
84,8e+07,10000000,95500,6,9550,0.734615384615385,"REHL: Real Estate","NE","7521"
86,0,15000000,399337,0,26622.4666666667,NA,"REHL: Real Estate","MW","6512"
86,1.5e+07,10000000,99000,1,9900,0.371866368505798,"REHL: Real Estate","MW","6512"
86,2.5e+07,25000000,113319,2,4532.76,0.457854545454545,"REHL: Real Estate","MW","6512"
86,5e+07,25000000,74750,3,2990,0.659642248872652,"REHL: Real Estate","MW","6512"
86,7.5e+08,25000000,45000,4,1800,0.602006688963211,"REHL: Real Estate","MW","6512"
87,0,10000000,263749,0,26374.9,NA,"M&A/General Industries","NE","3580"
87,1e+07,15000000,160967,1,10731.1333333333,0.406869157165841,"M&A/General Industries","NE","3580"
87,2.5e+07,25000000,188660,2,7546.4,0.703224884603676,"M&A/General Industries","NE","3580"
87,5e+07,25000000,96296,3,3851.84,0.510420862928019,"M&A/General Industries","NE","3580"
87,7.5e+07,25000000,77950,4,3118,0.809483259948492,"M&A/General Industries","NE","3580"
87,1e+08,25000000,48682,5,1947.28,0.624528543938422,"M&A/General Industries","NE","3580"
88,0,10000000,79500,0,7950,NA,"Retail & Distribution","NE","5621"
88,1e+07,15000000,29500,1,1966.66666666667,0.247379454926625,"Retail & Distribution","NE","5621"
88,2.5e+07,25000000,35000,2,1400,0.711864406779661,"Retail & Distribution","NE","5621"
89,0,5000000,174675,0,34935,NA,"REHL: Hospitality","NE","7011"
89,5e+06,10000000,121896,1,12189.6,0.348922284242164,"REHL: Hospitality","NE","7011"
89,1.5e+07,10000000,54742,2,5474.2,0.449087746931811,"REHL: Hospitality","NE","7011"
89,2.5e+07,15000000,41500,3,2766.66666666667,0.505401093614896,"REHL: Hospitality","NE","7011"
89,4e+07,15000000,25154,4,1676.93333333333,0.606120481927711,"REHL: Hospitality","NE","7011"
90,0,10000000,358001,0,35800.1,NA,"Public Sector & Education","NE","7521"
90,1e+07,15000000,124059,1,8270.6,0.231021701056701,"Public Sector & Education","NE","7521"
97,0,10000000,650497,0,65049.7,NA,"Transportation & Logistics","NE","4214"
97,1e+07,15000000,365000,1,24333.3333333333,0.374072952424582,"Transportation & Logistics","NE","4214"
99,0,25000000,2964451,0,118578.04,NA,"Retail & Distribution","NE","5651"
99,2.5e+07,15000000,315000,1,21000,0.177098558889993,"Retail & Distribution","NE","5651"
99,4e+07,10000000,151547,2,15154.7,0.721652380952381,"Retail & Distribution","NE","5651"
99,5e+07,25000000,315830,3,12633.2,0.833615973922282,"Retail & Distribution","NE","5651"
99,7.5e+07,25000000,174028,4,6961.12,0.551017952696071,"Retail & Distribution","NE","5651"
100,0,15000000,1485055,0,99003.6666666667,NA,"M&A/General Industries","NE","6726"
100,1.5e+07,10000000,395000,1,39500,0.398975122133524,"M&A/General Industries","NE","6726"
100,2.5e+07,25000000,460000,2,18400,0.465822784810127,"M&A/General Industries","NE","6726"
100,5e+07,25000000,334336,3,13373.44,0.726817391304348,"M&A/General Industries","NE","6726"
100,7.5e+07,25000000,204000,4,8160,0.610164624808576,"M&A/General Industries","NE","6726"
101,0,5000000,725000,0,145000,NA,"REHL: Hospitality","SE","6798"
101,5e+06,5000000,606900,1,121380,0.837103448275862,"REHL: Hospitality","SE","6798"
101,1e+07,15000000,373000,2,24866.6666666667,0.204866260229582,"REHL: Hospitality","SE","6798"
101,2.5e+07,15000000,185000,3,12333.3333333333,0.49597855227882,"REHL: Hospitality","SE","6798"
101,4e+07,10000000,111000,4,11100,0.9,"REHL: Hospitality","SE","6798"
101,5e+07,30000000,280000,5,9333.33333333333,0.840840840840841,"REHL: Hospitality","SE","6798"
101,8e+07,10000000,80000,6,8000,0.857142857142857,"REHL: Hospitality","SE","6798"
101,9e+07,10000000,81818,7,8181.8,1.022725,"REHL: Hospitality","SE","6798"
101,1e+08,10000000,62000,8,6200,0.757779461732137,"REHL: Hospitality","SE","6798"
101,1.1e+08,15000000,86000,9,5733.33333333333,0.924731182795699,"REHL: Hospitality","SE","6798"
101,1.25e+08,25000000,130711,10,5228.44,0.911937209302326,"REHL: Hospitality","SE","6798"
101,1.5e+08,15000000,72720,11,4848,0.927236422336299,"REHL: Hospitality","SE","6798"
101,1.65e+08,10000000,45000,12,4500,0.928217821782178,"REHL: Hospitality","SE","6798"
101,1.75e+08,25000000,110000,13,4400,0.977777777777778,"REHL: Hospitality","SE","6798"
102,0,10000000,457891,0,45789.1,NA,"Public Sector & Education","MW",""
102,1e+07,15000000,468096,1,31206.4,0.681524642327541,"Public Sector & Education","MW",""
102,2.5e+07,25000000,429000,2,17160,0.549887202625102,"Public Sector & Education","MW",""
102,5e+07,25000000,275000,3,11000,0.641025641025641,"Public Sector & Education","MW",""
106,0,20000000,172338,0,8616.9,NA,"Financial Institutions & Professional Services","NE","6021"
106,2.5e+07,25000000,28958,1,1158.32,0.134424212883984,"Financial Institutions & Professional Services","NE","6021"
109,0,10000000,189000,0,18900,NA,"Health & Life Sciences: Life Sciences","NE","8071"
109,1e+07,15000000,160000,1,10666.6666666667,0.564373897707231,"Health & Life Sciences: Life Sciences","NE","8071"
109,2.5e+07,25000000,115000,2,4600,0.43125,"Health & Life Sciences: Life Sciences","NE","8071"
109,5e+07,25000000,73200,3,2928,0.636521739130435,"Health & Life Sciences: Life Sciences","NE","8071"
