"ClientID","Line","LayerNumber","CarrierNumber","Attachment","Limit","Capacity","Premium","PPM","Weight","LayerAttachment","LayerLimit","LayerCapacity","LayerPremium","Relativity","SIC.Code"
57,"XS",6,3,1e+08,7500000,107500000,105000,14000,0.3,1e+08,2.5e+07,1.25e+08,350000,0.94258,NA
58,"UM",0,1,NA,1.5e+07,1.5e+07,190476,12698,1,NA,1.5e+07,1.5e+07,190476,NA,8661
58,"XS",1,1,1.5e+07,5e+06,2e+07,48750,9750,0.5,1.5e+07,1e+07,2.5e+07,97710,0.76947,8661
58,"XS",1,2,1.5e+07,5e+06,2e+07,48960,9792,0.5,1.5e+07,1e+07,2.5e+07,97710,0.76947,8661
59,"UM",0,1,NA,1e+07,1e+07,3750000,375000,1,NA,1e+07,1e+07,3750000,NA,7349
59,"XS",1,1,1e+07,1e+07,2e+07,2523267,252327,1,1e+07,1e+07,2e+07,2523267,0.67287,7349
59,"XS",2,1,2e+07,1.5e+07,3.5e+07,1760000,117333,1,2e+07,1.5e+07,3.5e+07,1760000,0.46501,7349
59,"XS",3,1,3.5e+07,1e+07,4.5e+07,990000,99000,1,3.5e+07,1e+07,4.5e+07,990000,0.84375,7349
59,"XS",4,1,4.5e+07,1e+07,5.5e+07,728000,72800,1,4.5e+07,1e+07,5.5e+07,728000,0.73535,7349
59,"XS",5,1,5.5e+07,1e+07,6.5e+07,699150,69915,0.4,5.5e+07,2.5e+07,8e+07,1747875,0.96037,7349
59,"XS",5,2,5.5e+07,1e+07,6.5e+07,699150,69915,0.4,5.5e+07,2.5e+07,8e+07,1747875,0.96037,7349
59,"XS",5,3,5.5e+07,5e+06,6e+07,349575,69915,0.2,5.5e+07,2.5e+07,8e+07,1747875,0.96037,7349
59,"XS",6,1,8e+07,2.5e+07,1.05e+08,1625525,65021,1,8e+07,2.5e+07,1.05e+08,1625525,0.93,7349
59,"XS",7,1,1.05e+08,1.5e+07,1.2e+08,536430,35762,1,1.05e+08,1.5e+07,1.2e+08,536430,0.55001,7349
59,"XS",8,1,1.2e+08,2.5e+07,1.45e+08,500675,20027,0.5,1.2e+08,5e+07,1.7e+08,1001350,0.56001,7349
59,"XS",8,2,1.2e+08,1.5e+07,1.35e+08,300405,20027,0.3,1.2e+08,5e+07,1.7e+08,1001350,0.56001,7349
59,"XS",8,3,1.2e+08,1e+07,1.3e+08,200270,20027,0.2,1.2e+08,5e+07,1.7e+08,1001350,0.56001,7349
59,"XS",9,1,1.7e+08,5e+06,1.75e+08,92500,18500,1,1.7e+08,5e+06,1.75e+08,92500,0.92375,7349
61,"UM",0,1,2e+06,1.5e+07,1.7e+07,514750,34317,1,2e+06,1.5e+07,1.7e+07,514750,NA,2819
61,"XS",1,1,1.5e+07,1e+07,2.5e+07,225000,22500,1,1.5e+07,1e+07,2.5e+07,225000,0.65566,2819
61,"XS",2,1,2.5e+07,12500000,37500000,115030,9202,0.5,2.5e+07,2.5e+07,5e+07,230060,0.409,2819
61,"XS",2,2,2.5e+07,12500000,37500000,115030,9202,0.5,2.5e+07,2.5e+07,5e+07,230060,0.409,2819
61,"XS",3,1,5e+07,1e+07,6e+07,75000,7500,1,5e+07,1e+07,6e+07,75000,0.815,2819
61,"XS",4,1,6e+07,1.5e+07,7.5e+07,88561,5904,1,6e+07,1.5e+07,7.5e+07,88561,0.78721,2819
61,"XS",5,1,7.5e+07,12500000,87500000,71078,5686,0.5,7.5e+07,2.5e+07,1e+08,142372,0.96457,2819
61,"XS",5,2,7.5e+07,12500000,87500000,71294,5704,0.5,7.5e+07,2.5e+07,1e+08,142372,0.96457,2819
62,"UM",0,1,NA,5e+06,5e+06,1475000,295000,1,NA,5e+06,5e+06,1475000,NA,5013
62,"XS",1,1,5e+06,5e+06,1e+07,625000,125000,0.5,5e+06,1e+07,1.5e+07,1250000,0.42373,5013
62,"XS",1,2,5e+06,5e+06,1e+07,625000,125000,0.5,5e+06,1e+07,1.5e+07,1250000,0.42373,5013
62,"XS",2,1,1.5e+07,1e+07,2.5e+07,1176471,117647,1,1.5e+07,1e+07,2.5e+07,1176471,0.94118,5013
62,"XS",3,1,2.5e+07,1e+07,3.5e+07,430000,43000,0.4,2.5e+07,2.5e+07,5e+07,1068637,0.36334,5013
62,"XS",3,2,2.5e+07,1.5e+07,4e+07,638637,42576,0.6,2.5e+07,2.5e+07,5e+07,1068637,0.36334,5013
62,"XS",4,1,5e+07,2.5e+07,7.5e+07,257000,10280,1,5e+07,2.5e+07,7.5e+07,257000,0.24049,5013
62,"XS",5,1,7.5e+07,12500000,87500000,111000,8880,0.5,7.5e+07,2.5e+07,1e+08,222000,0.86381,5013
62,"XS",5,2,7.5e+07,12500000,87500000,111000,8880,0.5,7.5e+07,2.5e+07,1e+08,222000,0.86381,5013
63,"UM",0,1,NA,1e+07,1e+07,1550000,155000,1,NA,1e+07,1e+07,1550000,NA,NA
63,"XS",1,1,1e+07,5e+06,1.5e+07,505000,101000,0.333,1e+07,1.5e+07,2.5e+07,1560000,0.67097,NA
63,"XS",1,2,1e+07,5e+06,1.5e+07,505000,101000,0.333,1e+07,1.5e+07,2.5e+07,1560000,0.67097,NA
63,"XS",1,3,1e+07,2500000,12500000,275000,110000,0.167,1e+07,1.5e+07,2.5e+07,1560000,0.67097,NA
63,"XS",1,4,1e+07,2500000,12500000,275000,110000,0.167,1e+07,1.5e+07,2.5e+07,1560000,0.67097,NA
63,"XS",2,1,2.5e+07,1.5e+07,4e+07,750000,50000,1,2.5e+07,1.5e+07,4e+07,750000,0.48077,NA
